candidate_C,estimator_mode,horizon_T,mc_repeats,mc_samples,start_state,truncated_exact_enumeration,wide_ci,world_id
behavioral_quotient_k5,monte_carlo,6,7,5000,start,1,0,A_4_irreversible
behavioral_quotient_k5,monte_carlo,8,7,5000,start,1,0,A_4_irreversible
behavioral_quotient_k5,monte_carlo,10,7,5000,start,1,0,A_4_irreversible
predictive_quotient_k5,exact,2,0,0,start,0,0,A_4_irreversible
predictive_quotient_k5,exact,3,0,0,start,0,0,A_4_irreversible
predictive_quotient_k5,exact,4,0,0,start,0,0,A_4_irreversible
predictive_quotient_k5,exact,5,0,0,start,0,0,A_4_irreversible
predictive_quotient_k5,monte_carlo,6,7,5000,start,1,0,A_4_irreversible
predictive_quotient_k5,monte_carlo,8,7,5000,start,1,0,A_4_irreversible
predictive_quotient_k5,monte_carlo,10,7,5000,start,1,0,A_4_irreversible
predictive_quotient_k8,exact,2,0,0,start,0,0,A_4_irreversible
predictive_quotient_k8,exact,3,0,0,start,0,0,A_4_irreversible
predictive_quotient_k8,exact,4,0,0,start,0,0,A_4_irreversible
predictive_quotient_k8,exact,5,0,0,start,0,0,A_4_irreversible
predictive_quotient_k8,monte_carlo,6,7,5000,start,1,0,A_4_irreversible
predictive_quotient_k8,monte_carlo,8,7,5000,start,1,0,A_4_irreversible
predictive_quotient_k8,monte_carlo,10,7,5000,start,1,0,A_4_irreversible
identity,exact,2,0,0,start,0,0,A_8_irreversible
identity,exact,3,0,0,start,0,0,A_8_irreversible
identity,exact,4,0,0,start,0,0,A_8_irreversible
identity,exact,5,0,0,start,0,0,A_8_irreversible
identity,monte_carlo,6,7,5000,start,1,0,A_8_irreversible
identity,monte_carlo,8,7,5000,start,1,0,A_8_irreversible
identity,monte_carlo,10,7,5000,start,1,0,A_8_irreversible
all_one,exact,2,0,0,start,0,0,A_8_irreversible
all_one,exact,3,0,0,start,0,0,A_8_irreversible
all_one,exact,4,0,0,start,0,0,A_8_irreversible
all_one,exact,5,0,0,start,0,0,A_8_irreversible
all_one,monte_carlo,6,7,5000,start,1,0,A_8_irreversible
all_one,monte_carlo,8,7,5000,start,1,0,A_8_irreversible
all_one,monte_carlo,10,7,5000,start,1,0,A_8_irreversible
random_k,exact,2,0,0,start,0,0,A_8_irreversible
random_k,exact,3,0,0,start,0,0,A_8_irreversible
random_k,exact,4,0,0,start,0,0,A_8_irreversible
random_k,exact,5,0,0,start,0,0,A_8_irreversible
random_k,monte_carlo,6,7,5000,start,1,0,A_8_irreversible
random_k,monte_carlo,8,7,5000,start,1,0,A_8_irreversible
random_k,monte_carlo,10,7,5000,start,1,0,A_8_irreversible
hash_k34_s1206,exact,2,0,0,start,0,0,A_8_irreversible
hash_k34_s1206,exact,3,0,0,start,0,0,A_8_irreversible
hash_k34_s1206,exact,4,0,0,start,0,0,A_8_irreversible
hash_k34_s1206,exact,5,0,0,start,0,0,A_8_irreversible
hash_k34_s1206,monte_carlo,6,7,5000,start,1,0,A_8_irreversible
hash_k34_s1206,monte_carlo,8,7,5000,start,1,0,A_8_irreversible
hash_k34_s1206,monte_carlo,10,7,5000,start,1,0,A_8_irreversible
trap_mixing_adversarial,exact,2,0,0,start,0,0,A_8_irreversible
trap_mixing_adversarial,exact,3,0,0,start,0,0,A_8_irreversible
trap_mixing_adversarial,exact,4,0,0,start,0,0,A_8_irreversible
trap_mixing_adversarial,exact,5,0,0,start,0,0,A_8_irreversible
trap_mixing_adversarial,monte_carlo,6,7,5000,start,1,0,A_8_irreversible
trap_mixing_adversarial,monte_carlo,8,7,5000,start,1,0,A_8_irreversible
trap_mixing_adversarial,monte_carlo,10,7,5000,start,1,0,A_8_irreversible
best_of_10_hashes_per_world,exact,2,0,0,start,0,0,A_8_irreversible
best_of_10_hashes_per_world,exact,3,0,0,start,0,0,A_8_irreversible
best_of_10_hashes_per_world,exact,4,0,0,start,0,0,A_8_irreversible
best_of_10_hashes_per_world,exact,5,0,0,start,0,0,A_8_irreversible
best_of_10_hashes_per_world,monte_carlo,6,7,5000,start,1,0,A_8_irreversible
best_of_10_hashes_per_world,monte_carlo,8,7,5000,start,1,0,A_8_irreversible
best_of_10_hashes_per_world,monte_carlo,10,7,5000,start,1,0,A_8_irreversible
viability_signature,exact,2,0,0,start,0,0,A_8_irreversible
viability_signature,exact,3,0,0,start,0,0,A_8_irreversible
viability_signature,exact,4,0,0,start,0,0,A_8_irreversible
viability_signature,exact,5,0,0,start,0,0,A_8_irreversible
viability_signature,monte_carlo,6,7,5000,start,1,0,A_8_irreversible
viability_signature,monte_carlo,8,7,5000,start,1,0,A_8_irreversible
viability_signature,monte_carlo,10,7,5000,start,1,0,A_8_irreversible
behavioral_quotient_k5,exact,2,0,0,start,0,0,A_8_irreversible
behavioral_quotient_k5,exact,3,0,0,start,0,0,A_8_irreversible
behavioral_quotient_k5,exact,4,0,0,start,0,0,A_8_irreversible
behavioral_quotient_k5,exact,5,0,0,start,0,0,A_8_irreversible
behavioral_quotient_k5,monte_carlo,6,7,5000,start,1,0,A_8_irreversible
behavioral_quotient_k5,monte_carlo,8,7,5000,start,1,0,A_8_irreversible
behavioral_quotient_k5,monte_carlo,10,7,5000,start,1,0,A_8_irreversible
predictive_quotient_k5,exact,2,0,0,start,0,0,A_8_irreversible
predictive_quotient_k5,exact,3,0,0,start,0,0,A_8_irreversible
predictive_quotient_k5,exact,4,0,0,start,0,0,A_8_irreversible
predictive_quotient_k5,exact,5,0,0,start,0,0,A_8_irreversible
predictive_quotient_k5,monte_carlo,6,7,5000,start,1,0,A_8_irreversible
predictive_quotient_k5,monte_carlo,8,7,5000,start,1,0,A_8_irreversible
predictive_quotient_k5,monte_carlo,10,7,5000,start,1,0,A_8_irreversible
predictive_quotient_k8,exact,2,0,0,start,0,0,A_8_irreversible
predictive_quotient_k8,exact,3,0,0,start,0,0,A_8_irreversible
predictive_quotient_k8,exact,4,0,0,start,0,0,A_8_irreversible
predictive_quotient_k8,exact,5,0,0,start,0,0,A_8_irreversible
predictive_quotient_k8,monte_carlo,6,7,5000,start,1,0,A_8_irreversible
predictive_quotient_k8,monte_carlo,8,7,5000,start,1,0,A_8_irreversible
predictive_quotient_k8,monte_carlo,10,7,5000,start,1,0,A_8_irreversible
identity,exact,2,0,0,start,0,0,A_5_irreversible
identity,exact,3,0,0,start,0,0,A_5_irreversible
identity,exact,4,0,0,start,0,0,A_5_irreversible
identity,exact,5,0,0,start,0,0,A_5_irreversible
identity,monte_carlo,6,7,5000,start,1,0,A_5_irreversible
identity,monte_carlo,8,7,5000,start,1,0,A_5_irreversible
identity,monte_carlo,10,7,5000,start,1,0,A_5_irreversible
all_one,exact,2,0,0,start,0,0,A_5_irreversible
all_one,exact,3,0,0,start,0,0,A_5_irreversible
all_one,exact,4,0,0,start,0,0,A_5_irreversible
all_one,exact,5,0,0,start,0,0,A_5_irreversible
all_one,monte_carlo,6,7,5000,start,1,0,A_5_irreversible
all_one,monte_carlo,8,7,5000,start,1,0,A_5_irreversible
all_one,monte_carlo,10,7,5000,start,1,0,A_5_irreversible
random_k,exact,2,0,0,start,0,0,A_5_irreversible
random_k,exact,3,0,0,start,0,0,A_5_irreversible
random_k,exact,4,0,0,start,0,0,A_5_irreversible
random_k,exact,5,0,0,start,0,0,A_5_irreversible
random_k,monte_carlo,6,7,5000,start,1,0,A_5_irreversible
random_k,monte_carlo,8,7,5000,start,1,0,A_5_irreversible
random_k,monte_carlo,10,7,5000,start,1,0,A_5_irreversible
hash_k34_s1206,exact,2,0,0,start,0,0,A_5_irreversible
hash_k34_s1206,exact,3,0,0,start,0,0,A_5_irreversible
hash_k34_s1206,exact,4,0,0,start,0,0,A_5_irreversible
hash_k34_s1206,exact,5,0,0,start,0,0,A_5_irreversible
hash_k34_s1206,monte_carlo,6,7,5000,start,1,0,A_5_irreversible
hash_k34_s1206,monte_carlo,8,7,5000,start,1,0,A_5_irreversible
hash_k34_s1206,monte_carlo,10,7,5000,start,1,0,A_5_irreversible
trap_mixing_adversarial,exact,2,0,0,start,0,0,A_5_irreversible
trap_mixing_adversarial,exact,3,0,0,start,0,0,A_5_irreversible
trap_mixing_adversarial,exact,4,0,0,start,0,0,A_5_irreversible
trap_mixing_adversarial,exact,5,0,0,start,0,0,A_5_irreversible
trap_mixing_adversarial,monte_carlo,6,7,5000,start,1,0,A_5_irreversible
trap_mixing_adversarial,monte_carlo,8,7,5000,start,1,0,A_5_irreversible
trap_mixing_adversarial,monte_carlo,10,7,5000,start,1,0,A_5_irreversible
best_of_10_hashes_per_world,exact,2,0,0,start,0,0,A_5_irreversible
best_of_10_hashes_per_world,exact,3,0,0,start,0,0,A_5_irreversible
best_of_10_hashes_per_world,exact,4,0,0,start,0,0,A_5_irreversible
best_of_10_hashes_per_world,exact,5,0,0,start,0,0,A_5_irreversible
best_of_10_hashes_per_world,monte_carlo,6,7,5000,start,1,0,A_5_irreversible
best_of_10_hashes_per_world,monte_carlo,8,7,5000,start,1,0,A_5_irreversible
best_of_10_hashes_per_world,monte_carlo,10,7,5000,start,1,0,A_5_irreversible
viability_signature,exact,2,0,0,start,0,0,A_5_irreversible
viability_signature,exact,3,0,0,start,0,0,A_5_irreversible
viability_signature,exact,4,0,0,start,0,0,A_5_irreversible
viability_signature,exact,5,0,0,start,0,0,A_5_irreversible
viability_signature,monte_carlo,6,7,5000,start,1,0,A_5_irreversible
viability_signature,monte_carlo,8,7,5000,start,1,0,A_5_irreversible
viability_signature,monte_carlo,10,7,5000,start,1,0,A_5_irreversible
behavioral_quotient_k5,exact,2,0,0,start,0,0,A_5_irreversible
behavioral_quotient_k5,exact,3,0,0,start,0,0,A_5_irreversible
behavioral_quotient_k5,exact,4,0,0,start,0,0,A_5_irreversible
behavioral_quotient_k5,exact,5,0,0,start,0,0,A_5_irreversible
behavioral_quotient_k5,monte_carlo,6,7,5000,start,1,0,A_5_irreversible
behavioral_quotient_k5,monte_carlo,8,7,5000,start,1,0,A_5_irreversible
behavioral_quotient_k5,monte_carlo,10,7,5000,start,1,0,A_5_irreversible
predictive_quotient_k5,exact,2,0,0,start,0,0,A_5_irreversible
predictive_quotient_k5,exact,3,0,0,start,0,0,A_5_irreversible
predictive_quotient_k5,exact,4,0,0,start,0,0,A_5_irreversible
predictive_quotient_k5,exact,5,0,0,start,0,0,A_5_irreversible
predictive_quotient_k5,monte_carlo,6,7,5000,start,1,0,A_5_irreversible
predictive_quotient_k5,monte_carlo,8,7,5000,start,1,0,A_5_irreversible
predictive_quotient_k5,monte_carlo,10,7,5000,start,1,0,A_5_irreversible
predictive_quotient_k8,exact,2,0,0,start,0,0,A_5_irreversible
predictive_quotient_k8,exact,3,0,0,start,0,0,A_5_irreversible
predictive_quotient_k8,exact,4,0,0,start,0,0,A_5_irreversible
predictive_quotient_k8,exact,5,0,0,start,0,0,A_5_irreversible
predictive_quotient_k8,monte_carlo,6,7,5000,start,1,0,A_5_irreversible
predictive_quotient_k8,monte_carlo,8,7,5000,start,1,0,A_5_irreversible
predictive_quotient_k8,monte_carlo,10,7,5000,start,1,0,A_5_irreversible
identity,exact,2,0,0,start,0,0,A_6_reversible
identity,exact,3,0,0,start,0,0,A_6_reversible
identity,exact,4,0,0,start,0,0,A_6_reversible
identity,exact,5,0,0,start,0,0,A_6_reversible
identity,exact,6,0,0,start,0,0,A_6_reversible
identity,monte_carlo,8,7,5000,start,1,0,A_6_reversible
identity,monte_carlo,10,7,20000,start,1,0,A_6_reversible
all_one,exact,2,0,0,start,0,0,A_6_reversible
all_one,exact,3,0,0,start,0,0,A_6_reversible
all_one,exact,4,0,0,start,0,0,A_6_reversible
all_one,exact,5,0,0,start,0,0,A_6_reversible
all_one,exact,6,0,0,start,0,0,A_6_reversible
all_one,monte_carlo,8,7,5000,start,1,0,A_6_reversible
all_one,monte_carlo,10,7,5000,start,1,0,A_6_reversible
random_k,exact,2,0,0,start,0,0,A_6_reversible
random_k,exact,3,0,0,start,0,0,A_6_reversible
random_k,exact,4,0,0,start,0,0,A_6_reversible
random_k,exact,5,0,0,start,0,0,A_6_reversible
random_k,exact,6,0,0,start,0,0,A_6_reversible
random_k,monte_carlo,8,7,5000,start,1,0,A_6_reversible
random_k,monte_carlo,10,7,20000,start,1,0,A_6_reversible
hash_k34_s1206,exact,2,0,0,start,0,0,A_6_reversible
hash_k34_s1206,exact,3,0,0,start,0,0,A_6_reversible
hash_k34_s1206,exact,4,0,0,start,0,0,A_6_reversible
hash_k34_s1206,exact,5,0,0,start,0,0,A_6_reversible
hash_k34_s1206,exact,6,0,0,start,0,0,A_6_reversible
hash_k34_s1206,monte_carlo,8,7,5000,start,1,0,A_6_reversible
hash_k34_s1206,monte_carlo,10,7,10000,start,1,0,A_6_reversible
trap_mixing_adversarial,exact,2,0,0,start,0,0,A_6_reversible
trap_mixing_adversarial,exact,3,0,0,start,0,0,A_6_reversible
trap_mixing_adversarial,exact,4,0,0,start,0,0,A_6_reversible
trap_mixing_adversarial,exact,5,0,0,start,0,0,A_6_reversible
trap_mixing_adversarial,exact,6,0,0,start,0,0,A_6_reversible
trap_mixing_adversarial,monte_carlo,8,7,5000,start,1,0,A_6_reversible
trap_mixing_adversarial,monte_carlo,10,7,20000,start,1,0,A_6_reversible
best_of_10_hashes_per_world,exact,2,0,0,start,0,0,A_6_reversible
best_of_10_hashes_per_world,exact,3,0,0,start,0,0,A_6_reversible
best_of_10_hashes_per_world,exact,4,0,0,start,0,0,A_6_reversible
best_of_10_hashes_per_world,exact,5,0,0,start,0,0,A_6_reversible
best_of_10_hashes_per_world,exact,6,0,0,start,0,0,A_6_reversible
best_of_10_hashes_per_world,monte_carlo,8,7,5000,start,1,0,A_6_reversible
best_of_10_hashes_per_world,monte_carlo,10,7,20000,start,1,0,A_6_reversible
viability_signature,exact,2,0,0,start,0,0,A_6_reversible
viability_signature,exact,3,0,0,start,0,0,A_6_reversible
viability_signature,exact,4,0,0,start,0,0,A_6_reversible
viability_signature,exact,5,0,0,start,0,0,A_6_reversible
viability_signature,exact,6,0,0,start,0,0,A_6_reversible
viability_signature,monte_carlo,8,7,10000,start,1,0,A_6_reversible
viability_signature,monte_carlo,10,7,10000,start,1,0,A_6_reversible
behavioral_quotient_k5,exact,2,0,0,start,0,0,A_6_reversible
behavioral_quotient_k5,exact,3,0,0,start,0,0,A_6_reversible
behavioral_quotient_k5,exact,4,0,0,start,0,0,A_6_reversible
behavioral_quotient_k5,exact,5,0,0,start,0,0,A_6_reversible
behavioral_quotient_k5,exact,6,0,0,start,0,0,A_6_reversible
behavioral_quotient_k5,monte_carlo,8,7,5000,start,1,0,A_6_reversible
behavioral_quotient_k5,monte_carlo,10,7,10000,start,1,0,A_6_reversible
predictive_quotient_k5,exact,2,0,0,start,0,0,A_6_reversible
predictive_quotient_k5,exact,3,0,0,start,0,0,A_6_reversible
predictive_quotient_k5,exact,4,0,0,start,0,0,A_6_reversible
predictive_quotient_k5,exact,5,0,0,start,0,0,A_6_reversible
predictive_quotient_k5,exact,6,0,0,start,0,0,A_6_reversible
predictive_quotient_k5,monte_carlo,8,7,5000,start,1,0,A_6_reversible
predictive_quotient_k5,monte_carlo,10,7,10000,start,1,0,A_6_reversible
predictive_quotient_k8,exact,2,0,0,start,0,0,A_6_reversible
predictive_quotient_k8,exact,3,0,0,start,0,0,A_6_reversible
predictive_quotient_k8,exact,4,0,0,start,0,0,A_6_reversible
predictive_quotient_k8,exact,5,0,0,start,0,0,A_6_reversible
predictive_quotient_k8,exact,6,0,0,start,0,0,A_6_reversible
predictive_quotient_k8,monte_carlo,8,7,5000,start,1,0,A_6_reversible
predictive_quotient_k8,monte_carlo,10,7,10000,start,1,0,A_6_reversible
identity,exact,2,0,0,start,0,0,A_5_reversible
identity,exact,3,0,0,start,0,0,A_5_reversible
identity,exact,4,0,0,start,0,0,A_5_reversible
identity,exact,5,0,0,start,0,0,A_5_reversible
identity,exact,6,0,0,start,0,0,A_5_reversible
identity,monte_carlo,8,7,5000,start,1,0,A_5_reversible
identity,monte_carlo,10,7,10000,start,1,0,A_5_reversible
all_one,exact,2,0,0,start,0,0,A_5_reversible
all_one,exact,3,0,0,start,0,0,A_5_reversible
all_one,exact,4,0,0,start,0,0,A_5_reversible
all_one,exact,5,0,0,start,0,0,A_5_reversible
all_one,exact,6,0,0,start,0,0,A_5_reversible
all_one,monte_carlo,8,7,5000,start,1,0,A_5_reversible
all_one,monte_carlo,10,7,5000,start,1,0,A_5_reversible
random_k,exact,2,0,0,start,0,0,A_5_reversible
random_k,exact,3,0,0,start,0,0,A_5_reversible
random_k,exact,4,0,0,start,0,0,A_5_reversible
random_k,exact,5,0,0,start,0,0,A_5_reversible
random_k,exact,6,0,0,start,0,0,A_5_reversible
random_k,monte_carlo,8,7,5000,start,1,0,A_5_reversible
random_k,monte_carlo,10,7,10000,start,1,0,A_5_reversible
hash_k34_s1206,exact,2,0,0,start,0,0,A_5_reversible
hash_k34_s1206,exact,3,0,0,start,0,0,A_5_reversible
hash_k34_s1206,exact,4,0,0,start,0,0,A_5_reversible
hash_k34_s1206,exact,5,0,0,start,0,0,A_5_reversible
hash_k34_s1206,exact,6,0,0,start,0,0,A_5_reversible
hash_k34_s1206,monte_carlo,8,7,5000,start,1,0,A_5_reversible
hash_k34_s1206,monte_carlo,10,7,20000,start,1,0,A_5_reversible
trap_mixing_adversarial,exact,2,0,0,start,0,0,A_5_reversible
trap_mixing_adversarial,exact,3,0,0,start,0,0,A_5_reversible
trap_mixing_adversarial,exact,4,0,0,start,0,0,A_5_reversible
trap_mixing_adversarial,exact,5,0,0,start,0,0,A_5_reversible
trap_mixing_adversarial,exact,6,0,0,start,0,0,A_5_reversible
trap_mixing_adversarial,monte_carlo,8,7,5000,start,1,0,A_5_reversible
trap_mixing_adversarial,monte_carlo,10,7,20000,start,1,0,A_5_reversible
best_of_10_hashes_per_world,exact,2,0,0,start,0,0,A_5_reversible
best_of_10_hashes_per_world,exact,3,0,0,start,0,0,A_5_reversible
best_of_10_hashes_per_world,exact,4,0,0,start,0,0,A_5_reversible
best_of_10_hashes_per_world,exact,5,0,0,start,0,0,A_5_reversible
best_of_10_hashes_per_world,exact,6,0,0,start,0,0,A_5_reversible
best_of_10_hashes_per_world,monte_carlo,8,7,5000,start,1,0,A_5_reversible
best_of_10_hashes_per_world,monte_carlo,10,7,10000,start,1,0,A_5_reversible
viability_signature,exact,2,0,0,start,0,0,A_5_reversible
viability_signature,exact,3,0,0,start,0,0,A_5_reversible
viability_signature,exact,4,0,0,start,0,0,A_5_reversible
viability_signature,exact,5,0,0,start,0,0,A_5_reversible
viability_signature,exact,6,0,0,start,0,0,A_5_reversible
viability_signature,monte_carlo,8,7,5000,start,1,0,A_5_reversible
viability_signature,monte_carlo,10,7,10000,start,1,0,A_5_reversible
behavioral_quotient_k5,exact,2,0,0,start,0,0,A_5_reversible
behavioral_quotient_k5,exact,3,0,0,start,0,0,A_5_reversible
behavioral_quotient_k5,exact,4,0,0,start,0,0,A_5_reversible
behavioral_quotient_k5,exact,5,0,0,start,0,0,A_5_reversible
behavioral_quotient_k5,exact,6,0,0,start,0,0,A_5_reversible
behavioral_quotient_k5,monte_carlo,8,7,10000,start,1,0,A_5_reversible
behavioral_quotient_k5,monte_carlo,10,7,10000,start,1,0,A_5_reversible
predictive_quotient_k5,exact,2,0,0,start,0,0,A_5_reversible
predictive_quotient_k5,exact,3,0,0,start,0,0,A_5_reversible
predictive_quotient_k5,exact,4,0,0,start,0,0,A_5_reversible
predictive_quotient_k5,exact,5,0,0,start,0,0,A_5_reversible
predictive_quotient_k5,exact,6,0,0,start,0,0,A_5_reversible
predictive_quotient_k5,monte_carlo,8,7,10000,start,1,0,A_5_reversible
predictive_quotient_k5,monte_carlo,10,7,10000,start,1,0,A_5_reversible
predictive_quotient_k8,exact,2,0,0,start,0,0,A_5_reversible
predictive_quotient_k8,exact,3,0,0,start,0,0,A_5_reversible
predictive_quotient_k8,exact,4,0,0,start,0,0,A_5_reversible
predictive_quotient_k8,exact,5,0,0,start,0,0,A_5_reversible
predictive_quotient_k8,exact,6,0,0,start,0,0,A_5_reversible
predictive_quotient_k8,monte_carlo,8,7,10000,start,1,0,A_5_reversible
predictive_quotient_k8,monte_carlo,10,7,10000,start,1,0,A_5_reversible
identity,exact,2,0,0,start,0,0,A_7_reversible
identity,exact,3,0,0,start,0,0,A_7_reversible
identity,exact,4,0,0,start,0,0,A_7_reversible
identity,exact,5,0,0,start,0,0,A_7_reversible
identity,exact,6,0,0,start,0,0,A_7_reversible
identity,monte_carlo,8,7,5000,start,1,0,A_7_reversible
identity,monte_carlo,10,7,10000,start,1,0,A_7_reversible
all_one,exact,2,0,0,start,0,0,A_7_reversible
all_one,exact,3,0,0,start,0,0,A_7_reversible
all_one,exact,4,0,0,start,0,0,A_7_reversible
all_one,exact,5,0,0,start,0,0,A_7_reversible
all_one,exact,6,0,0,start,0,0,A_7_reversible
all_one,monte_carlo,8,7,5000,start,1,0,A_7_reversible
all_one,monte_carlo,10,7,5000,start,1,0,A_7_reversible
random_k,exact,2,0,0,start,0,0,A_7_reversible
random_k,exact,3,0,0,start,0,0,A_7_reversible
random_k,exact,4,0,0,start,0,0,A_7_reversible
random_k,exact,5,0,0,start,0,0,A_7_reversible
random_k,exact,6,0,0,start,0,0,A_7_reversible
random_k,monte_carlo,8,7,5000,start,1,0,A_7_reversible
random_k,monte_carlo,10,7,10000,start,1,0,A_7_reversible
hash_k34_s1206,exact,2,0,0,start,0,0,A_7_reversible
hash_k34_s1206,exact,3,0,0,start,0,0,A_7_reversible
hash_k34_s1206,exact,4,0,0,start,0,0,A_7_reversible
hash_k34_s1206,exact,5,0,0,start,0,0,A_7_reversible
hash_k34_s1206,exact,6,0,0,start,0,0,A_7_reversible
hash_k34_s1206,monte_carlo,8,7,5000,start,1,0,A_7_reversible
hash_k34_s1206,monte_carlo,10,7,20000,start,1,0,A_7_reversible
trap_mixing_adversarial,exact,2,0,0,start,0,0,A_7_reversible
trap_mixing_adversarial,exact,3,0,0,start,0,0,A_7_reversible
trap_mixing_adversarial,exact,4,0,0,start,0,0,A_7_reversible
trap_mixing_adversarial,exact,5,0,0,start,0,0,A_7_reversible
trap_mixing_adversarial,exact,6,0,0,start,0,0,A_7_reversible
trap_mixing_adversarial,monte_carlo,8,7,5000,start,1,0,A_7_reversible
trap_mixing_adversarial,monte_carlo,10,7,10000,start,1,0,A_7_reversible
best_of_10_hashes_per_world,exact,2,0,0,start,0,0,A_7_reversible
best_of_10_hashes_per_world,exact,3,0,0,start,0,0,A_7_reversible
best_of_10_hashes_per_world,exact,4,0,0,start,0,0,A_7_reversible
best_of_10_hashes_per_world,exact,5,0,0,start,0,0,A_7_reversible
best_of_10_hashes_per_world,exact,6,0,0,start,0,0,A_7_reversible
best_of_10_hashes_per_world,monte_carlo,8,7,5000,start,1,0,A_7_reversible
best_of_10_hashes_per_world,monte_carlo,10,7,10000,start,1,0,A_7_reversible
viability_signature,exact,2,0,0,start,0,0,A_7_reversible
viability_signature,exact,3,0,0,start,0,0,A_7_reversible
viability_signature,exact,4,0,0,start,0,0,A_7_reversible
viability_signature,exact,5,0,0,start,0,0,A_7_reversible
viability_signature,exact,6,0,0,start,0,0,A_7_reversible
viability_signature,monte_carlo,8,7,5000,start,1,0,A_7_reversible
viability_signature,monte_carlo,10,7,10000,start,1,0,A_7_reversible
behavioral_quotient_k5,exact,2,0,0,start,0,0,A_7_reversible
behavioral_quotient_k5,exact,3,0,0,start,0,0,A_7_reversible
behavioral_quotient_k5,exact,4,0,0,start,0,0,A_7_reversible
behavioral_quotient_k5,exact,5,0,0,start,0,0,A_7_reversible
